#####START_HYDROGRAPHS_KED_01_00000
     Time    Rain  Rainperv    Qtop      Qbot      Qper      Qimp    Qinto_OS   Qout_OS  Stage
    270.0   10.80    8.30     2.397     1.094     0.442     0.479     2.016     2.016     0.000
    285.0    6.36    3.86     2.864     1.653     0.472     0.282     2.407     2.407     0.000
    300.0    5.48    2.98     3.278     2.202     0.467     0.243     2.912     2.912     0.000
    315.0   12.36    9.86     4.481     2.886     0.695     0.549     4.130     4.130     0.000
    330.0   16.48   13.98     6.249     3.952     1.038     0.732     5.722     5.722     0.000
    345.0    4.96    2.46     6.619     5.074     0.872     0.220     6.166     6.166     0.000
    360.0   11.52    9.02     7.796     6.076     0.992     0.511     7.579     7.579     0.000
    375.0   14.44   11.94     9.327     7.280     1.197     0.641     9.119     9.119     0.000
    390.0    2.76    0.26     9.273     8.286     0.903     0.123     9.312     9.312     0.000
    405.0    1.04    0.00     8.925     8.695     0.687     0.046     9.428     9.428     0.000
    420.0    1.04    0.00     8.466     8.695     0.531     0.046     9.272     9.272     0.000
    435.0    1.04    0.00     7.944     8.448     0.416     0.046     8.911     8.911     0.000
    450.0    3.08    0.58     7.552     8.098     0.348     0.137     8.583     8.583     0.000
    465.0    4.12    1.62     7.209     7.741     0.327     0.183     8.252     8.252     0.000
    480.0    6.88    4.38     7.171     7.469     0.395     0.305     8.170     8.170     0.000
    495.0    4.56    2.06     6.866     7.248     0.377     0.202     7.828     7.828     0.000
    510.0    2.76    0.26     6.354     6.937     0.309     0.123     7.369     7.369     0.000
    525.0    2.76    0.26     5.851     6.534     0.257     0.123     6.913     6.913     0.000
    540.0   16.04   13.54     6.961     6.474     0.633     0.712     7.819     7.819     0.000
    555.0    5.48    2.98     6.864     6.685     0.591     0.243     7.519     7.519     0.000
    570.0    0.00    0.00     6.289     6.634     0.461     0.000     7.095     7.095     0.000
    585.0    0.00    0.00     5.747     6.339     0.364     0.000     6.703     6.703     0.000
    600.0    0.00    0.00     5.211     5.930     0.291     0.000     6.222     6.222     0.000
    615.0    0.00    0.00     4.725     5.476     0.236     0.000     5.712     5.712     0.000
    630.0    0.00    0.00     4.275     5.022     0.192     0.000     5.215     5.215     0.000
    645.0    0.00    0.00     3.850     4.583     0.159     0.000     4.742     4.742     0.000
    660.0    4.12    1.62     3.768     4.234     0.173     0.183     4.591     4.591     0.000
    675.0   31.60   29.10     7.015     4.757     1.114     1.403     7.274     7.274     0.000
    690.0   34.32   31.82    11.189     6.809     2.126     1.524    10.458    10.458     0.000
    705.0   55.64   53.14    19.378    11.127     3.957     2.470    17.554    17.554     0.000
    720.0   68.00   65.50    30.768    18.876     5.982     3.019    27.877    27.877     0.000
    735.0   49.44   46.94    39.623    28.652     6.365     2.195    37.212    37.212     0.000
    750.0   42.56   40.06    46.650    37.813     6.242     1.889    45.944    45.944     0.000
    765.0   27.48   24.98    50.237    44.772     5.361     1.220    51.352    51.352     0.000
    780.0   53.56   51.06    57.276    50.787     6.180     2.378    59.344    59.344     0.000
    795.0   82.44   79.94    69.622    59.450     8.335     3.660    71.444    71.444     0.000
    810.0    0.00    0.00    65.348    65.029     5.292     0.000    70.321    70.321     0.000
    825.0    0.00    0.00    56.890    62.304     3.513     0.000    65.817    65.817     0.000
    840.0    0.00    0.00    48.976    55.824     2.419     0.000    58.243    58.243     0.000
    855.0   20.60   18.10    44.677    49.707     2.509     0.914    53.131    53.131     0.000
    870.0   49.44   46.94    46.080    46.815     3.948     2.195    52.957    52.957     0.000
    885.0   13.72   11.22    42.190    45.038     3.217     0.609    48.864    48.864     0.000
    900.0    4.84    2.34    36.190    41.184     2.335     0.215    43.734    43.734     0.000
    915.0    6.20    3.70    31.086    36.292     1.819     0.275    38.386    38.386     0.000
    930.0    4.48    1.98    26.760    31.613     1.399     0.199    33.210    33.210     0.000
